Type;FSL-3;
Version;2.40;
Date;16.Oct 23;
Mode;ANALYZER;
Center Freq;99960000,000000;Hz
Freq Offset;0,000000;Hz
Span;196000000,000000;Hz
x-Axis;LIN;
Start;1960000,000000;Hz
Stop;197960000,000000;Hz
Ref Level;10,000000;dBm
Level Offset;0,000000;dB
Ref Position;100,000000;%
y-Axis;LOG;
Level Range;100,000000;dB
Rf Att;30,000000;dB
RBW;30000,000000;Hz
VBW;100000,000000;Hz
SWT;0,215000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;501;
117992000;-67,381393432617187;-96,549980163574219
118384000;-65,769744873046875;-91,106246948242188
118776000;-67,726509094238281;-96,708358764648438
119168000;-65,364883422851562;-101,99889373779297
119560000;-65,855110168457031;-94,81072998046875
119952000;-64,24151611328125;-107,72206115722656
120344000;-69,69989013671875;-105,66732788085937
120736000;-65,456581115722656;-88,720458984375
121128000;-66,413803100585937;-108,31794738769531
121520000;-67,191825866699219;-101,13495635986328
121912000;-66,946662902832031;-101,69405364990234
122304000;-67,666969299316406;-109,41338348388672
122696000;-68,641853332519531;-106,79653167724609
123088000;-65,375236511230469;-94,797523498535156
123480000;-67,73577880859375;-97,426620483398438
123872000;-66,045150756835938;-100,18381500244141
124264000;-65,370643615722656;-97,019584655761719
124656000;-68,115325927734375;-95,957534790039063
125048000;-68,475418090820313;-100,34325408935547
125440000;-67,217063903808594;-97,01513671875
125832000;-67,106735229492187;-92,736061096191406
126224000;-67,541481018066406;-98,686508178710937
126616000;-67,453239440917969;-89,683433532714844
127008000;-66,022705078125;-94,87030029296875
127400000;-64,758926391601563;-102,80560302734375
127792000;-67,488288879394531;-101,02122497558594
128184000;-65,329307556152344;-103,48871612548828
128576000;-65,92120361328125;-115,17861175537109
128968000;-67,775253295898437;-95,743812561035156
129360000;-66,678016662597656;-113,51615905761719
129752000;-67,817237854003906;-96,294914245605469
130144000;-68,382606506347656;-96,829757690429688
130536000;-65,799591064453125;-103,59962463378906
130928000;-66,699623107910156;-90,751045227050781
131320000;-68,564231872558594;-100,74331665039062
131712000;-67,12786865234375;-93,6990966796875
132104000;-64,522262573242188;-101,18587493896484
132496000;-67,795112609863281;-95,779396057128906
132888000;-65,812477111816406;-98,325904846191406
133280000;-66,924880981445312;-88,107017517089844
133672000;-69,810958862304688;-118,45553588867187
134064000;-67,763778686523438;-93,612403869628906
134456000;-69,172416687011719;-108,26645660400391
134848000;-66,7923583984375;-90,4124755859375
135240000;-67,5587158203125;-98,057701110839844
135632000;-67,857940673828125;-103,58035278320312
136024000;-65,780387878417969;-112,09824371337891
136416000;-64,855209350585937;-88,135833740234375
136808000;-66,692916870117188;-97,862251281738281
137200000;-65,334999084472656;-103,69590759277344
137592000;-69,409706115722656;-102,98976898193359
137984000;-67,710006713867188;-102,23251342773437
138376000;-68,3955078125;-100,37594604492187
138768000;-68,756843566894531;-102,12676239013672
139160000;-68,296356201171875;-115,13857269287109
139552000;-67,074684143066406;-96,684219360351563
139944000;-66,734764099121094;-97,305450439453125
140336000;-67,7811279296875;-114,68859100341797
140728000;-67,012603759765625;-104,31683349609375
141120000;-65,809425354003906;-112,7474365234375
141512000;-68,451187133789063;-106,72534942626953
141904000;-65,756591796875;-108,66206359863281
142296000;-65,506919860839844;-97,967376708984375
142688000;-66,999809265136719;-87,616775512695313
143080000;-69,290290832519531;-103,67365264892578
143472000;-63,661167144775391;-94,504730224609375
143864000;-67,777587890625;-93,019546508789063
144256000;-66,862136840820312;-99,945846557617188
144648000;-66,851821899414062;-106,88896179199219
145040000;-68,495246887207031;-102,00143432617187
145432000;-67,62567138671875;-103,42346954345703
145824000;-68,498687744140625;-88,202796936035156
146216000;-67,349113464355469;-110,05738067626953
146608000;-66,699127197265625;-109,55941772460937
147000000;-65,046012878417969;-90,287429809570313
147392000;-65,215553283691406;-116,60010528564453
147784000;-66,745162963867188;-101,50020599365234
148176000;-67,883834838867188;-98,2025146484375
